"Volume_rendering","Q2165951"
"Mathematical_induction","Q178377"
"Model_of_computation","Q2651576"
"Complexity","Q723897"
"Data_structure","Q175263"
"Hash_table","Q207440"
"Spanning_tree","Q831672"
"Computer_programming","Q80006"
"NP-complete","Q215206"
"Continuous_function","Q170058"
"Graph_coloring","Q504843"
"Bioinformatics","Q128570"
"Geometric_modeling","Q1002535"
"Monte_Carlo_method","Q232207"
"Random_variable","Q176623"
"Web_search_engine","Q4182287"
"Data_(computing)","Q494756"
"Natural_language_processing","Q30642"
"Virtual_memory","Q189401"
"Signal_processing","Q208163"
"Central_processing_unit","Q5300"
"Vector_processor","Q919509"
"Internet_Protocol_Suite","Q81414"
"Pipeline_(computing)","Q1192422"
"Motion_capture","Q676252"
"Wireless_sensor_network","Q336038"
"Polymorphism_(computer_science)","Q3240252"
"3D_modeling","Q568742"
"Speech_recognition","Q189436"
"Graphical_model","Q1143367"
"Unsupervised_learning","Q1152135"
"Unix","Q11368"
"Cryptographic_hash_function","Q477202"
"Instruction_set","Q272683"
"Lazy_evaluation","Q573952"
"3D_computer_graphics","Q189177"
"Computer_vision","Q844240"
"Multi-core_processor","Q555032"
"Statistics","Q12483"
"Time_complexity","Q2393193"
"Database_design","Q1049878"
"Game_theory","Q44455"
"Lock_(computer_science)","Q1427251"
"Number_theory","Q12479"
"PSPACE","Q500716"
"Flow_network","Q1412924"
"JavaScript","Q2005"
"Web_server","Q11288"
"Artificial_intelligence","Q11660"
"Data_analysis","Q1988917"
"Semantics_of_programming_languages","Q1437428"
"Software_framework","Q271680"
"Machine_learning","Q2539"
"Human-computer_interaction","Q207434"
"Application_programming_interface","Q165194"
"Prediction","Q748250"
"Kernel_(computing)","Q202400"
"Approximation_algorithm","Q621751"
"Operating_system","Q9135"
"Scope_(computer_science)","Q1034415"
"Visualization_(computer_graphics)","Q451553"
"Database_normalization","Q339072"
"Scientific_modelling","Q1116876"
"Rendering_(computer_graphics)","Q176953"
"Structured_programming","Q223335"
"Reason","Q178354"
"Theory_of_computation","Q844718"
"Linear_system","Q1072174"
"Input/output","Q219320"
"Formal_verification","Q173326"
"Computer_science","Q21198"
"Image_analysis","Q860755"
"Computational_geometry","Q874709"
"User_interface_design","Q135707"
"Semidefinite_programming","Q2269096"
"Markov_chain","Q176645"
"Hidden_line_removal","Q5752075"
"Perl","Q42478"
"Algorithm_design","Q8366"
"Pushdown_automaton","Q751443"
"Generic_programming","Q1051282"
"Finite_set","Q272404"
"Ordinary_differential_equation","Q465274"
"Cluster_analysis","Q622825"
"Message_passing","Q1859284"
"Machine_translation","Q79798"
"Complexity_class","Q908207"
"Inter-process_communication","Q751436"
"Cryptanalysis","Q897511"
"Relational_database","Q192588"
"Automatic_programming","Q762268"
"Relational_database_management_system","Q192588"
"First-order_logic","Q4055684"
"Parallel_algorithm","Q1087987"
"Autonomous_robot","Q2916098"
"Program_analysis","Q2112188"
"Dynamic_memory_allocation","Q2308807"
"Programmer","Q5482740"
"Procedural_programming","Q1418502"
"Floating_point","Q117879"
"Software_development","Q638608"
"Stochastic_process","Q176737"
"Logic_programming","Q275603"
"Inheritance_(object-oriented_programming)","Q212542"
"Uncertainty","Q13649246"
"Shading","Q1191981"
"Fast_Fourier_transform","Q623950"
"ML_(programming_language)","Q860654"
"User_interface","Q47146"
"Processor_register","Q187466"
"Mathematical_model","Q486902"
"Performance_tuning","Q113678037"
"Calculus","Q149972"
"Query_language","Q845739"
"Linked_list","Q7003418"
"PageRank","Q184316"
"Sentiment_analysis","Q2271421"
"Best","Q246064"
"Computational_chemistry","Q369472"
"Java_(programming_language)","Q251"
"Recurrence_relation","Q740970"
"Finite-state_machine","Q176452"
"Dynamic_programming","Q380679"
"Formal_grammar","Q373045"
"Tensor","Q188524"
"Arithmetic_logic_unit","Q192903"
"Calculus_of_variations","Q216861"
