Q149972,Q3968
Q11351,Q909510
Q3968,Q11205
Q46441,Q8811
Q12483,Q5862903
Q234881,Q149972
Q234881,Q11455
Q8366,Q175263
Q14579,Q388
Q14579,Q15777
Q12482,Q8078
Q12482,Q1003009
Q850,Q47607
Q11214,Q149972
Q842433,Q149972
Q3522973,Q149972
Q3522973,Q41217
Q3522973,Q11473
Q633538,Q169019
Q2089905,Q149972
Q208163,Q149972
Q31479975,Q208163
Q959968,Q208163
Q173142,Q208163
Q173142,Q82571
Q208163,Q5862903
Q190169,Q11456
Q190169,Q2089905
Q190169,Q2974105
Q11456,Q2974105
Q11456,Q2089905
Q11456,Q11406
Q1063837,Q2974105
Q1303814,Q2974105
q11455,q3968
q11455,q149972
q11455,q82571
Q117879,Q121416
Q1156793,Q80006
Q14514122,q12482
Q39680,Q39072
Q39680,q149972
Q215819,Q47607
Q5377869,q149972
Q5377869,q82571
Q13425103,q208163
Q112889106,Q47607
Q11567,Q131187
Q2493,q208163
Q2493,q82571
Q192776,q82571
Q192776,q149972
Q184609,q8078
Q184609,Q80006
Q209455,q2974105
Q1054772,q149972
Q1054772,q959968
Q2348,Q81197
Q2348,Q2035437
Q2348,Q149999
Q2348,q11214
Q859221,Q251
Q7451136,Q160289
Q7451136,Q52946
Q7451136,Q207011
Q650553,Q193040
Q185524,Q47607
Q105514255,Q2407
q82571,q3968
Q845566,Q2407
Q282453,q82571
Q11023,q3968
Q692989,Q207316
Q319417,Q47607
Q14579,Q388
Q14579,Q15777
