"calculus","Q149972"
"organic chemistry","Q11351"
"algebra","Q3968"
"Cascading Style Sheets","Q46441"
"statistics","Q12483"
"quantum electrodynamics","Q234881"
"quantum electrodynamics","Q234881"
"algorithm","Q8366"
"Linux kernel","Q14579"
"Linux kernel","Q14579"
"set theory","Q12482"
"set theory","Q12482"
"MySQL","Q850"
"differential equation","Q11214"
"astrodynamics","Q842433"
"jet propulsion","Q3522973"
"jet propulsion","Q3522973"
"jet propulsion","Q3522973"
"structural engineering","Q633538"
"circuit theory","Q2089905"
"signal processing","Q208163"
"communication system","Q31479975"
"control system","Q959968"
"digital signal processing","Q173142"
"digital signal processing","Q173142"
"signal processing","Q208163"
"analog-to-digital converter","Q190169"
"analog-to-digital converter","Q190169"
"analog-to-digital converter","Q190169"
"semiconductor","Q11456"
"semiconductor","Q11456"
"semiconductor","Q11456"
"programmable logic device","Q1063837"
"processor design","Q1303814"
"special relativity","q11455"
"special relativity","q11455"
"special relativity","q11455"
"floating point","Q117879"
"program optimization","Q1156793"
"measure theory","Q14514122"
"macroeconomics","Q39680"
"macroeconomics","Q39680"
"Microsoft SQL Server","Q215819"
"engineering analysis","Q5377869"
"engineering analysis","Q5377869"
"communication network","Q13425103"
"SQL dialect","Q112889106"
"complex number","Q11567"
"data compression","Q2493"
"data compression","Q2493"
"artificial neural network","Q192776"
"artificial neural network","Q192776"
"expert system","Q184609"
"expert system","Q184609"
"VHDL","Q209455"
"data recovery","Q1054772"
"data recovery","Q1054772"
"neutron","Q2348"
"neutron","Q2348"
"neutron","Q2348"
"neutron","Q2348"
"Swing","Q859221"
"sensory neuroscience","Q7451136"
"sensory neuroscience","Q7451136"
"sensory neuroscience","Q7451136"
"PIC microcontroller","Q650553"
"Oracle Database","Q185524"
"GNU C Compiler","Q105514255"
"linear algebra","q82571"
"debugging","Q845566"
"support vector machine","Q282453"
"engineering","Q11023"
"Roblox","Q692989"
"SQLite","Q319417"
"Linux kernel","Q14579"
"Linux kernel","Q14579"
